"plan","measure","estimate","ci_lower","ci_upper"
"baseline","mean_damage",13.875,12.5664639382103,15.1835360617897
"baseline","CVaR_0.9",59.7265625,56.4057576155462,69.953125
"corridor","mean_damage",4.095,3.32452132841287,4.86547867158713
"corridor","CVaR_0.9",25.794701986755,22.5670880557977,38.7
"proposed","mean_damage",4.69,4.10591905226799,5.27408094773201
"proposed","CVaR_0.9",24.4573643410853,22.2616071428571,26.8003539823009
