"plan","measure","estimate","ci_lower","ci_upper"
"baseline","mean_damage",13.772,13.1912005471512,14.3527994528488
"baseline","CVaR_0.9",58.9408099688473,57.4799101890344,66.2100356872193
"corridor","mean_damage",4.09499999999999,3.77413091138698,4.415869088613
"corridor","CVaR_0.9",23.8310893512852,22.6131941031754,34.2815789319798
"proposed","mean_damage",4.345,4.08162322298571,4.60837677701428
"proposed","CVaR_0.9",26.3765541740675,25.3099527478021,27.5001083188908
